,0,1,2,3,4,5,6,7,8,9
10,"[ 0.04373255 -0.03248469  0.064223   -0.00505601  0.02779604 -0.1053387
 -0.0371241  -0.05313866]","[ 0.0456344  -0.03398544  0.06163311 -0.00454076  0.02765732 -0.10322098
 -0.03866656 -0.05445708]","[ 0.04408719 -0.02688849  0.06645207 -0.00463807  0.02594808 -0.10070578
 -0.03648418 -0.05381289]","[ 0.04575077 -0.03047003  0.06655875 -0.00427921  0.02616218 -0.10236267
 -0.03721343 -0.05573536]","[ 0.04317324 -0.03176549  0.0652223  -0.00226105  0.02490725 -0.09976718
 -0.03537612 -0.05441928]","[ 0.04619831 -0.03475574  0.06604178 -0.00200961  0.0290894  -0.10598491
 -0.03848211 -0.05408858]","[ 0.04616256 -0.02982014  0.06813541 -0.00569661  0.02748477 -0.10174508
 -0.03612536 -0.05037092]","[ 0.04664452 -0.02987932  0.06796074 -0.00528401  0.02894358 -0.09835863
 -0.03623744 -0.04784257]","[ 0.04583944 -0.02740652  0.06741185 -0.00584098  0.0273581  -0.0998238
 -0.03686784 -0.0515905 ]","[ 0.0449059  -0.02678396  0.06776396 -0.00449856  0.02610441 -0.10080525
 -0.03675332 -0.0543971 ]"
11,"[ 0.04376769 -0.03243389  0.0642455  -0.00505118  0.02779824 -0.105288
 -0.03711426 -0.05320284]","[ 0.04564646 -0.03387727  0.06168007 -0.00453179  0.02764026 -0.10320024
 -0.03862646 -0.0545385 ]","[ 0.04414546 -0.02689515  0.06644593 -0.00463381  0.02595378 -0.10066121
 -0.03646358 -0.05383556]","[ 0.04578771 -0.03041652  0.06656266 -0.00426117  0.02616352 -0.10233477
 -0.03721352 -0.05578988]","[ 0.04322218 -0.03172062  0.06518093 -0.00229952  0.02491889 -0.09974376
 -0.03536021 -0.05446574]","[ 0.04622994 -0.03467063  0.06604722 -0.00201779  0.02907141 -0.10597261
 -0.03846356 -0.05417009]","[ 0.04619379 -0.02978056  0.06812827 -0.0056932   0.02747339 -0.10172569
 -0.03611849 -0.050423  ]","[ 0.04667086 -0.02984181  0.06795638 -0.00530113  0.02890673 -0.09835825
 -0.03620736 -0.04790347]","[ 0.04588025 -0.02739117  0.06741773 -0.00582704  0.0273394  -0.09980142
 -0.03683826 -0.0516313 ]","[ 0.04496736 -0.02678462  0.06774779 -0.00449264  0.02610566 -0.1007735
 -0.0367356  -0.05442422]"
12,"[ 0.04378945 -0.03236763  0.0642407  -0.00502252  0.02777476 -0.10527716
 -0.03710236 -0.05327439]","[ 0.04564394 -0.03374996  0.06169823 -0.00449767  0.02759794 -0.10321695
 -0.03858552 -0.05462857]","[ 0.04418832 -0.02688723  0.0664205  -0.00460733  0.02593537 -0.10065644
 -0.03644098 -0.05386135]","[ 0.04581292 -0.03035139  0.06652871 -0.00422045  0.02613847 -0.10234231
 -0.03721537 -0.05585089]","[ 0.04325371 -0.031653    0.06512599 -0.00231039  0.02490585 -0.09976067
 -0.03533843 -0.05451835]","[ 0.04624728 -0.03457432  0.0660099  -0.00200508  0.0290246  -0.10600261
 -0.03844778 -0.05426094]","[ 0.04621034 -0.02972892  0.06809528 -0.00566961  0.02743724 -0.10174557
 -0.03611214 -0.05047912]","[ 0.04667758 -0.02978309  0.06793575 -0.00529729  0.02884383 -0.09840323
 -0.03617615 -0.04796972]","[ 0.04590618 -0.02736169  0.0674     -0.00579243  0.02729612 -0.09981908
 -0.03680898 -0.05167547]","[ 0.0450149  -0.02677386  0.06770377 -0.00446583  0.02608206 -0.10078008
 -0.03671823 -0.05445439]"
13,"[ 0.04380447 -0.03230109  0.06422015 -0.00497707  0.027738   -0.10529184
 -0.03709492 -0.05334448]","[ 0.0456331  -0.03361996  0.06169999 -0.00444713  0.02754343 -0.10325689
 -0.03855028 -0.05471891]","[ 0.04421959 -0.0268754   0.06638675 -0.00456508  0.0259074  -0.10067672
 -0.0364218  -0.05388202]","[ 0.04583182 -0.03028878  0.06646836 -0.00416701  0.02610231 -0.10237117
 -0.03722532 -0.0559093 ]","[ 0.04327182 -0.03157566  0.06507067 -0.00229882  0.02487967 -0.09980558
 -0.03531729 -0.05456951]","[ 0.04625836 -0.03448458  0.06594015 -0.00198278  0.02896411 -0.10605884
 -0.03844274 -0.05435209]","[ 0.0462178  -0.02967539  0.06804484 -0.00563327  0.02739153 -0.10178869
 -0.03611172 -0.05053099]","[ 0.04666976 -0.02971135  0.06790646 -0.0052781   0.02876974 -0.09847676
 -0.03614877 -0.04803405]","[ 0.04592173 -0.02732796  0.06736815 -0.00574416  0.02724351 -0.0998609
 -0.03678474 -0.05171487]","[ 0.04505209 -0.02676226  0.06764278 -0.00442629  0.0260497  -0.10080986
 -0.03670666 -0.05447888]"
14,"[ 0.04382345 -0.03225638  0.06420628 -0.00492247  0.02770437 -0.10530735
 -0.03708739 -0.05340018]","[ 0.04562427 -0.03351031  0.06170854 -0.0043894   0.0274937  -0.10329562
 -0.03851616 -0.05479633]","[ 0.04424888 -0.0268801   0.06636508 -0.00451381  0.02588777 -0.10069763
 -0.03640249 -0.05388545]","[ 0.04585465 -0.0302507   0.06640677 -0.00411049  0.02607421 -0.10239688
 -0.03723834 -0.05595132]","[ 0.04328534 -0.03150995  0.0650346  -0.00227141  0.02485554 -0.09985582
 -0.03529441 -0.05460741]","[ 0.04627626 -0.03442549  0.06586334 -0.00196121  0.02890929 -0.10611348
 -0.03844321 -0.05442906]","[ 0.04622724 -0.02964033  0.0679984  -0.00559191  0.02735555 -0.10182958
 -0.03611262 -0.05056608]","[ 0.04665828 -0.02964669  0.06788728 -0.00525027  0.02870373 -0.09855257
 -0.0361214  -0.04808462]","[ 0.04593704 -0.02731049  0.06734349 -0.00568973  0.02720093 -0.09990142
 -0.03676109 -0.05173716]","[ 0.04508858 -0.02677032  0.06758752 -0.00438192  0.02602816 -0.1008378
 -0.0366967  -0.05448472]"
15,"[ 0.04385122 -0.03225     0.06421918 -0.00486562  0.02768393 -0.10530803
 -0.03707084 -0.05343111]","[ 0.04562219 -0.03343777  0.0617444  -0.00433228  0.02745884 -0.10331811
 -0.03847408 -0.05484986]","[ 0.04428219 -0.02691887  0.0663728  -0.00445981  0.02588635 -0.10070449
 -0.03637645 -0.05386279]","[ 0.04588662 -0.0302545   0.0663688  -0.00405855  0.02606549 -0.10240474
 -0.0372445  -0.05596574]","[ 0.04329901 -0.03147279  0.06503141 -0.00223502  0.02484229 -0.09989689
 -0.03526445 -0.05462284]","[ 0.04630793 -0.03441441  0.06580606 -0.001948    0.02887204 -0.10614871
 -0.03843745 -0.05447944]","[ 0.04624511 -0.0296417   0.06797768 -0.0055525   0.02734056 -0.10185324
 -0.0361065  -0.0505749 ]","[ 0.04665005 -0.02960818  0.06789612 -0.00522078  0.02865723 -0.09861491
 -0.0360875  -0.0481125 ]","[ 0.04595828 -0.02732768  0.06734643 -0.00563605  0.0271796  -0.09992557
 -0.03673054 -0.05173314]","[ 0.04513045 -0.02681591  0.0675593  -0.00433927  0.02602842 -0.10084908
 -0.03668051 -0.05446215]"
16,"[ 0.04388359 -0.03228314  0.06426744 -0.00481194  0.02767775 -0.10529228
 -0.03703836 -0.05343438]","[ 0.04562286 -0.03340352  0.0618165  -0.00428125  0.02743939 -0.10332373
 -0.03841659 -0.05487593]","[ 0.04431846 -0.02699607  0.06641565 -0.00440856  0.02590207 -0.10069709
 -0.03633897 -0.05381337]","[ 0.04592433 -0.0303027   0.06636856 -0.00401625  0.0260764  -0.10239516
 -0.03723531 -0.05594936]","[ 0.04331076 -0.03146716  0.06506172 -0.00219609  0.02484008 -0.09992684
 -0.03522411 -0.05461389]","[ 0.04634932 -0.03445174  0.06578558 -0.00194751  0.02885374 -0.10616298
 -0.03841445 -0.05449864]","[ 0.04626954 -0.02968421  0.06799455 -0.0055206   0.0273461  -0.10186018
 -0.03608685 -0.05055616]","[ 0.04664456 -0.02960253  0.06794084 -0.00519602  0.02862991 -0.09866349
 -0.03604261 -0.04811687]","[ 0.04598413 -0.02738492  0.06738671 -0.00558877  0.02717885 -0.0999338
 -0.03668762 -0.05170191]","[ 0.04517648 -0.02690349  0.06756838 -0.0043032   0.02604942 -0.10084426
 -0.03665192 -0.05440997]"
17,"[ 0.04391156 -0.03234177  0.06434626 -0.00476428  0.02768134 -0.10526671
 -0.03698835 -0.05341508]","[ 0.04561754 -0.03339347  0.06192043 -0.00423865  0.02743037 -0.10332017
 -0.03834153 -0.05487902]","[ 0.04435276 -0.02710155  0.06648634 -0.00436376  0.02592716 -0.10068342
 -0.03628959 -0.05374491]","[ 0.04595928 -0.0303821   0.06640595 -0.00398528  0.02610005 -0.10237751
 -0.03720748 -0.05590791]","[ 0.04331543 -0.03148235  0.06511368 -0.00215957  0.02484448 -0.09995042
 -0.03517441 -0.05458622]","[ 0.04638892 -0.03452047  0.06580576 -0.00196034  0.02884935 -0.10616483
 -0.03836887 -0.05449097]","[ 0.0462938  -0.02975738  0.06804723 -0.00549913  0.0273637  -0.10186019
 -0.03605175 -0.0505173 ]","[ 0.04663716 -0.02962194  0.06801632 -0.00518026  0.02861331 -0.09870728
 -0.03598647 -0.04810547]","[ 0.04600905 -0.0274726   0.06746038 -0.00555109  0.02718982 -0.09993582
 -0.03663123 -0.05165136]","[ 0.04522101 -0.02702243  0.06761129 -0.00427614  0.02608231 -0.10083297
 -0.0366092  -0.054336  ]"
18,"[ 0.04392833 -0.03240499  0.06444152 -0.00472191  0.02768935 -0.1052384
 -0.03692506 -0.05338333]","[ 0.04559948 -0.03338704  0.06204249 -0.00420309  0.02742626 -0.10331527
 -0.03825279 -0.05486876]","[ 0.04438172 -0.02721785  0.06656907 -0.00432628  0.025953   -0.10067162
 -0.03623219 -0.05366988]","[ 0.04598439 -0.03047147  0.06646968 -0.0039634   0.02612804 -0.10236165
 -0.03716398 -0.05585308]","[ 0.04331049 -0.03150205  0.0651689  -0.00212775  0.0248514  -0.09997168
 -0.03512056 -0.0545497 ]","[ 0.04641536 -0.03459488  0.06585895 -0.00198288  0.02885261 -0.10616404
 -0.03830284 -0.05446681]","[ 0.04631232 -0.02984233  0.06812313 -0.00548721  0.02738275 -0.10186394
 -0.03600434 -0.05047117]","[ 0.04662461 -0.02965053  0.06810791 -0.00517421  0.02859671 -0.09875606
 -0.03592287 -0.04809109]","[ 0.04602889 -0.02757289  0.0675533  -0.00552269  0.0272016  -0.09994217
 -0.0365648  -0.05159472]","[ 0.04525958 -0.02715391  0.0676744  -0.00425733  0.02611668 -0.10082529
 -0.03655551 -0.05425361]"
19,"[ 0.04393392 -0.03245568  0.06453658 -0.00468064  0.02769775 -0.10521088
 -0.03685686 -0.05335011]","[ 0.04556864 -0.03336776  0.06216632 -0.00416983  0.02742343 -0.1033128
 -0.03815886 -0.05485564]","[ 0.04440702 -0.02733     0.06664652 -0.00429396  0.02597366 -0.10066548
 -0.03617359 -0.05360057]","[ 0.04599863 -0.0305521   0.06654358 -0.00394483  0.02615366 -0.1023531
 -0.03711277 -0.0557979 ]","[ 0.04329951 -0.03151427  0.06520996 -0.00209994  0.02485931 -0.09999059
 -0.03507028 -0.05451394]","[ 0.04642382 -0.03465223  0.0659312  -0.00200779  0.02885843 -0.10616654
 -0.0382249  -0.05443832]","[ 0.04632482 -0.02992176  0.06820531 -0.00548032  0.0273945  -0.10187785
 -0.03595149 -0.05043113]","[ 0.04660865 -0.02967402  0.06819805 -0.0051748   0.02857148 -0.09881541
 -0.03585826 -0.04808641]","[ 0.04604452 -0.02766961  0.06764793 -0.00549981  0.02720551 -0.09995904
 -0.03649491 -0.0515454 ]","[ 0.04529268 -0.02728101  0.06774069 -0.00424292  0.02614463 -0.10082673
 -0.03649772 -0.05417652]"
