,0,1,2,3,4,5,6,7,8,9
20,"[ 0.04393541 -0.03248745  0.06461818 -0.00463436  0.02770366 -0.10518406
 -0.0367931  -0.05332372]","[ 0.04553216 -0.03333017  0.06227854 -0.00413255  0.0274196  -0.10331239
 -0.03806972 -0.05484752]","[ 0.04443524 -0.02743237  0.06670597 -0.00426269  0.02598659 -0.1006641
 -0.03612109 -0.05354475]","[ 0.04600782 -0.03061533  0.06661285 -0.00392214  0.02617234 -0.10235228
 -0.03706384 -0.05575251]","[ 0.04329155 -0.03151719  0.06522598 -0.00207333  0.02486855 -0.10000387
 -0.03503096 -0.0544848 ]","[ 0.04641833 -0.0346811   0.06600779 -0.00202594  0.02886243 -0.10617368
 -0.03814668 -0.05441577]","[ 0.04633661 -0.02998744  0.0682789  -0.00547186  0.02739363 -0.1019029
 -0.03590137 -0.05040651]","[ 0.04659573 -0.02968689  0.06827273 -0.00517663  0.02853278 -0.09888547
 -0.0357994  -0.04809936]","[ 0.04606179 -0.02775557  0.06772985 -0.00547675  0.02719674 -0.09998711
 -0.036429   -0.05151232]","[ 0.04532612 -0.02739604  0.06779609 -0.00422739  0.02616187 -0.10083732
 -0.03644385 -0.05411415]"
21,"[ 0.04394348 -0.03250534  0.06467978 -0.00457757  0.02770465 -0.10515593
 -0.03674074 -0.05330776]","[ 0.04550121 -0.03328038  0.06237208 -0.00408578  0.02741275 -0.10331151
 -0.03799312 -0.0548477 ]","[ 0.04447475 -0.02752982  0.06674245 -0.00422847  0.02599201 -0.10066357
 -0.03607968 -0.0535035 ]","[ 0.0460218  -0.03066435  0.06666812 -0.00388887  0.0261813  -0.10235602
 -0.03702538 -0.05572152]","[ 0.04329733 -0.03151893  0.06521479 -0.00204488  0.02487992 -0.10000754
 -0.03500689 -0.05446295]","[ 0.0464095  -0.03468349  0.0660773  -0.00202927  0.02885999 -0.10618374
 -0.03807861 -0.05440534]","[ 0.04635578 -0.03004235  0.06833533 -0.00545581  0.02737841 -0.1019356
 -0.03586035 -0.05039981]","[ 0.04659401 -0.02969418  0.06832536 -0.0051745   0.02847992 -0.09896192
 -0.03575081 -0.04813038]","[ 0.04608863 -0.02783452  0.0677917  -0.00544834  0.02717452 -0.10002259
 -0.03637261 -0.05149713]","[ 0.04536822 -0.02750253  0.06783324 -0.00420585  0.02616746 -0.10085304
 -0.03640001 -0.05406896]"
22,"[ 0.04396737 -0.03252147  0.06472183 -0.00450768  0.02769906 -0.10512435
 -0.03670189 -0.05330099]","[ 0.04548601 -0.03323152  0.06244658 -0.00402701  0.02740107 -0.10330748
 -0.03793186 -0.05485497]","[ 0.04453167 -0.02763395  0.06675865 -0.00418936  0.02599244 -0.1006591
 -0.03605007 -0.05347128]","[ 0.04604993 -0.03071068  0.06670679 -0.00384199  0.02617965 -0.10235945
 -0.03700075 -0.05570341]","[ 0.0433245  -0.03153243  0.06518201 -0.00201305  0.0248941  -0.09999922
 -0.03499744 -0.05444447]","[ 0.04640964 -0.03467123  0.06613352 -0.00201343  0.02884668 -0.10619369
 -0.03802622 -0.05440856]","[ 0.0463892  -0.03009767  0.06837327 -0.00542913  0.02735076 -0.10196983
 -0.03583064 -0.05040622]","[ 0.04660942 -0.02970825  0.06835722 -0.00516565  0.02841619 -0.09903793
 -0.03571287 -0.04817233]","[ 0.04613114 -0.02791798  0.06783374 -0.00541215  0.02714182 -0.10005918
 -0.0363272  -0.05149392]","[ 0.04542591 -0.02761186  0.06785217 -0.00417606  0.02616348 -0.10086792
 -0.03636806 -0.0540362 ]"
23,"[ 0.04401063 -0.03254838  0.06474998 -0.00442593  0.02768701 -0.10508822
 -0.03667345 -0.05329862]","[ 0.04549139 -0.03319704  0.06250698 -0.00395759  0.02738402 -0.10329885
 -0.03788319 -0.05486497]","[ 0.04460656 -0.02775685  0.06676249 -0.00414631  0.02599261 -0.10064692
 -0.03602861 -0.05343829]","[ 0.04609683 -0.03076797  0.06673202 -0.00378286  0.02616921 -0.10235784
 -0.03698762 -0.05569187]","[ 0.04337391 -0.03156864  0.06513806 -0.00197867  0.02491221 -0.09997942
 -0.03499745 -0.05442304]","[ 0.04642737 -0.0346594   0.06617547 -0.00197901  0.02881998 -0.10620054
 -0.03798881 -0.05442303]","[ 0.04643904 -0.03016681  0.06839721 -0.00539281  0.02731612 -0.10199902
 -0.0358096  -0.05041548]","[ 0.04664266 -0.02974276  0.06837535 -0.00515076  0.02834836 -0.09910657
 -0.03568164 -0.04821294]","[ 0.04619044 -0.02801917  0.06786196 -0.00536933  0.02710498 -0.10009042
 -0.03628977 -0.05149143]","[ 0.04550117 -0.02773719  0.06785849 -0.00413933  0.02615492 -0.10087623
 -0.03634502 -0.05400599]"
24,"[ 0.04406937 -0.03259337  0.06477219 -0.0043367   0.02767124 -0.10504812
 -0.03664913 -0.05329451]","[ 0.04551462 -0.033185    0.06256085 -0.00388184  0.02736334 -0.10328602
 -0.03784071 -0.0548722 ]","[ 0.0446934  -0.02790534  0.06676355 -0.00410252  0.02599887 -0.10062566
 -0.03600915 -0.05339394]","[ 0.04616012 -0.03084594  0.06675031 -0.00371635  0.02615492 -0.10234819
 -0.03697957 -0.05567828]","[ 0.04343858 -0.03163139  0.0650944  -0.00194431  0.0249364  -0.09995163
 -0.03499963 -0.05439256]","[ 0.04646411 -0.0346599   0.06620609 -0.00193101  0.02878099 -0.10620233
 -0.03796077 -0.05444389]","[ 0.04650124 -0.03025931  0.06841436 -0.00535105  0.02728267 -0.10201838
 -0.03579132 -0.05041548]","[ 0.04668819 -0.02980654  0.06838893 -0.00513318  0.02828532 -0.09916308
 -0.03565071 -0.04823888]","[ 0.04626144 -0.0281469   0.06788465 -0.00532386  0.02707254 -0.10011186
 -0.03625448 -0.05147695]","[ 0.04558956 -0.02788737  0.06786025 -0.00409965  0.02614903 -0.10087441
 -0.03632483 -0.05396687]"
25,"[ 0.04413353 -0.0326559   0.06479573 -0.00424547  0.02765646 -0.10500627
 -0.03662246 -0.05328342]","[ 0.04554641 -0.03319547  0.06261557 -0.00380507  0.02734295 -0.10327107
 -0.0377975  -0.05487201]","[ 0.04478112 -0.02807792  0.06676955 -0.00406156  0.02601769 -0.10059687
 -0.0359861  -0.0533304 ]","[ 0.04623101 -0.03094674  0.06676852 -0.00364855  0.02614381 -0.10233
 -0.0369693  -0.05565462]","[ 0.04350583 -0.03171561  0.06506014 -0.0019127   0.02496953 -0.09992141
 -0.03499785 -0.05434942]","[ 0.0465137  -0.03467765  0.06623016 -0.00187672  0.02873461 -0.10619864
 -0.03793463 -0.05446541]","[ 0.04656662 -0.03037693  0.06843136 -0.00530917  0.02725916 -0.10202631
 -0.03576958 -0.05039614]","[ 0.04673577 -0.02989991  0.06840554 -0.00511687  0.02823563 -0.09920642
 -0.03561419 -0.04824016]","[ 0.04633418 -0.02830183  0.06790893 -0.00528043  0.02705308 -0.10012243
 -0.03621558 -0.05144041]","[ 0.04568121 -0.02806318  0.06786454 -0.00406163  0.02615367 -0.1008621
 -0.03630132 -0.05390955]"
26,"[ 0.04419095 -0.03272862  0.06482498 -0.0041565   0.02764755 -0.10496574
 -0.03658947 -0.05326257]","[ 0.04557467 -0.03322161  0.06267615 -0.00373123  0.02732738 -0.10325684
 -0.03774892 -0.05486179]","[ 0.04485752 -0.02826528  0.06678398 -0.00402528  0.02605337 -0.10056429
 -0.03595692 -0.05324509]","[ 0.04629776 -0.03106485  0.06679135 -0.00358414  0.02614275 -0.10230506
 -0.0369516  -0.05561572]","[ 0.04356187 -0.0318096   0.06503981 -0.00188491  0.02501376 -0.09989454
 -0.03498951 -0.05429363]","[ 0.0465653  -0.03471024  0.06625221 -0.00182304  0.02868803 -0.10619033
 -0.03790416 -0.05448231]","[ 0.04662421 -0.03051312  0.06845166 -0.0052709   0.02725214 -0.10202457
 -0.03574058 -0.0503526 ]","[ 0.04677413 -0.03001446  0.06842853 -0.00510401  0.02820461 -0.09923917
 -0.03556927 -0.04821334]","[ 0.04639736 -0.0284761   0.06793812 -0.00524197  0.02705243 -0.10012435
 -0.03617006 -0.05137763]","[ 0.04576441 -0.02825713  0.06787501 -0.00402819  0.0261747  -0.10084189
 -0.03627101 -0.05382968]"
27,"[ 0.04423218 -0.03280112  0.06486056 -0.00407119  0.0276472  -0.10492896
 -0.03654968 -0.05323217]","[ 0.04558945 -0.03325344  0.06274416 -0.00366142  0.02731967 -0.10324542
 -0.0376938  -0.05484133]","[ 0.04491395 -0.0284539   0.06680546 -0.00399258  0.02610591 -0.10053208
 -0.0359229  -0.05314133]","[ 0.04635028 -0.03119001  0.06682011 -0.0035245   0.02615579 -0.10227623
 -0.03692486 -0.0555603 ]","[ 0.04359708 -0.03189982  0.06503299 -0.00185938  0.02506888 -0.09987486
 -0.03497604 -0.05422866]","[ 0.04660815 -0.03475071  0.06627507 -0.0017743   0.02864798 -0.10617869
 -0.03786609 -0.05449057]","[ 0.04666558 -0.03065568  0.06847451 -0.00523672  0.0272633  -0.1020169
 -0.03570426 -0.05028655]","[ 0.04679532 -0.03013609  0.06845624 -0.00509355  0.028192   -0.09926595
 -0.03551724 -0.04816271]","[ 0.04644266 -0.02865632  0.06797092 -0.00520808  0.02707121 -0.10012165
 -0.03611873 -0.05129141]","[ 0.04583006 -0.02845652  0.06789095 -0.00399898  0.02621362 -0.10081776
 -0.0362342  -0.05372901]"
28,"[ 0.04425428 -0.03286466  0.06490003 -0.00398789  0.0276545  -0.10489629
 -0.03650529 -0.05319495]","[ 0.04558698 -0.03328257  0.06281817 -0.00359363  0.02731977 -0.10323679
 -0.0376337  -0.05481238]","[ 0.04494871 -0.02863097  0.066829   -0.00395951  0.0261702  -0.10050273
 -0.03588813 -0.05302741]","[ 0.04638423 -0.03131162  0.06685292 -0.00346735  0.02618247 -0.10224565
 -0.03689062 -0.05549085]","[ 0.04360967 -0.03197621  0.06503555 -0.00183222  0.0251314  -0.09986258
 -0.03496144 -0.05416025]","[ 0.04663593 -0.03479165  0.06629951 -0.00173131  0.02861843 -0.10616435
 -0.03782006 -0.05448775]","[ 0.04668835 -0.03079133  0.06849579 -0.00520359  0.02728841 -0.10200686
 -0.03566378 -0.05020565]","[ 0.04679798 -0.0302499   0.0684833  -0.00508134  0.02819129 -0.09929099
 -0.0354626  -0.04809912]","[ 0.04646819 -0.02882835  0.06800245 -0.00517504  0.02710407 -0.10011785
 -0.03606549 -0.05119084]","[ 0.04587533 -0.02864814  0.0679082  -0.00397039  0.02626652 -0.10079295
 -0.03619428 -0.05361461]"
29,"[ 0.0442618  -0.03291571  0.06493965 -0.00390303  0.02766505 -0.10486525
 -0.03645937 -0.05315515]","[ 0.04557086 -0.03330559  0.06289519 -0.00352389  0.0273244  -0.10322825
 -0.03757122 -0.05477785]","[ 0.04496782 -0.02878858  0.0668486  -0.00392093  0.02623711 -0.10047564
 -0.03585737 -0.05291438]","[ 0.04640243 -0.03142275  0.06688629 -0.00340803  0.02621792 -0.10221344
 -0.03685201 -0.05541256]","[ 0.04360631 -0.03203581  0.06504205 -0.00179863  0.02519505 -0.09985375
 -0.03494991 -0.0540948 ]","[ 0.04664888 -0.03482867  0.0663249  -0.0016918   0.02859948 -0.10614655
 -0.03776749 -0.05447305]","[ 0.04669718 -0.03091005  0.06851022 -0.00516643  0.02731829 -0.10199599
 -0.03562376 -0.05012151]","[ 0.04678798 -0.03034479  0.06850332 -0.00506187  0.02819131 -0.0993161
 -0.035411   -0.04803735]","[ 0.04647934 -0.02898172  0.06802681 -0.00513739  0.02714086 -0.10011412
 -0.03601542 -0.05108881]","[ 0.0459048  -0.02882263  0.06792139 -0.00393708  0.02632489 -0.1007682
 -0.03615584 -0.05349695]"
30,"[ 0.04426461 -0.03295683  0.0649764  -0.00381297  0.02767253 -0.10483098
 -0.03641423 -0.05311723]","[ 0.04555022 -0.033325    0.06297251 -0.00344805  0.02732819 -0.10321494
 -0.03750843 -0.05474099]","[ 0.04498262 -0.02892548  0.06685996 -0.0038726   0.02629602 -0.10044705
 -0.03583403 -0.05281344]","[ 0.04641332 -0.03152189  0.06691712 -0.00334149  0.02625457 -0.10217729
 -0.03681207 -0.05533184]","[ 0.0435993  -0.03208321  0.06504826 -0.00175487  0.0252526  -0.09984131
 -0.03494385 -0.05403788]","[ 0.04665281 -0.03486188  0.06635027 -0.00165191  0.02858796 -0.10612313
 -0.0377102  -0.05444714]","[ 0.04670188 -0.03100755  0.06851399 -0.00512054  0.02734158 -0.10198287
 -0.03558838 -0.05004683]","[ 0.04677616 -0.03041597  0.06851192 -0.00503074  0.02817939 -0.09933978
 -0.03536713 -0.04799262]","[ 0.04648668 -0.02911212  0.0680398  -0.00509032  0.02716955 -0.10010849
 -0.03597278 -0.05099905]","[ 0.04592844 -0.02897674  0.06792655 -0.00389421  0.02637819 -0.10074128
 -0.0361227  -0.05338735]"
31,"[ 0.0442738  -0.03299494  0.06500937 -0.00371568  0.02767094 -0.10478772
 -0.03637071 -0.05308496]","[ 0.04553568 -0.03334734  0.06304899 -0.00336339  0.02732571 -0.10319138
 -0.03744607 -0.05470476]","[ 0.0450053  -0.02904598  0.06686231 -0.00381321  0.0263379  -0.10041133
 -0.03581919 -0.05273375]","[ 0.04642722 -0.03161224  0.06694418 -0.00326439  0.02628473 -0.10213338
 -0.03677281 -0.05525492]","[ 0.04360179 -0.03212802  0.06505269 -0.00169973  0.02529795 -0.09981732
 -0.03494301 -0.05399323]","[ 0.04665589 -0.03489487  0.06637534 -0.00160784  0.028579   -0.10609139
 -0.03764979 -0.05441197]","[ 0.04671343 -0.031085    0.06850663 -0.00506376  0.02734816 -0.10196381
 -0.03556025 -0.04999274]","[ 0.04677398 -0.03046461  0.06850881 -0.00498693  0.02814502 -0.09935799
 -0.03533353 -0.04797744]","[ 0.04650176 -0.02922106  0.06804094 -0.00503193  0.02717972 -0.10009667
 -0.03593984 -0.05093323]","[ 0.04595757 -0.02911273  0.06792294 -0.00383956  0.02641695 -0.10070783
 -0.03609683 -0.05329559]"
32,"[ 0.04429739 -0.03303778  0.06504    -0.00361167  0.02765648 -0.10473087
 -0.03632847 -0.05306086]","[ 0.04553515 -0.03337972  0.06312535 -0.00326958  0.02731311 -0.1031534
 -0.03738389 -0.0546715 ]","[ 0.04504442 -0.02915668  0.06685873 -0.00374514  0.02635767 -0.10036323
 -0.03581179 -0.05268089]","[ 0.04645217 -0.03169889  0.06696858 -0.00317625  0.02630289 -0.10207796
 -0.03673521 -0.05518683]","[ 0.04362306 -0.03218045  0.06505686 -0.00163515  0.02532786 -0.09977572
 -0.03494498 -0.05396237]","[ 0.04666484 -0.0349321   0.06640081 -0.00155722  0.02856798 -0.10604924
 -0.03758769 -0.05437048]","[ 0.04673973 -0.03114671  0.06849149 -0.00499778  0.02733194 -0.1019345
 -0.03554029 -0.04996685]","[ 0.04678918 -0.03049527  0.06849816 -0.00493378  0.02808273 -0.09936607
 -0.03531049 -0.0479995 ]","[ 0.04653276 -0.02931325  0.06803387 -0.00496437  0.02716537 -0.10007396
 -0.03591685 -0.050899  ]","[ 0.04600043 -0.0292357   0.06791339 -0.00377459  0.02643538 -0.10066327
 -0.03607838 -0.05322832]"
33,"[ 0.04433769 -0.03309034  0.06507122 -0.00350392  0.02762839 -0.10465883
 -0.03628678 -0.05304606]","[ 0.04555119 -0.03342634  0.06320348 -0.00316869  0.02728908 -0.10309978
 -0.0373214  -0.05464284]","[ 0.04510202 -0.02926281  0.06685497 -0.00367409  0.02635518 -0.10030015
 -0.03580954 -0.05265641]","[ 0.04649111 -0.03178574  0.06699312 -0.00307962  0.02630688 -0.10200917
 -0.03669975 -0.05513087]","[ 0.04366561 -0.03224708  0.06506424 -0.00156573  0.02534244 -0.09971456
 -0.03494639 -0.05394481]","[ 0.04668238 -0.03497601  0.06642791 -0.00149971  0.02855175 -0.10599638
 -0.03752567 -0.05432624]","[ 0.04678275 -0.03119685  0.06847473 -0.00492791  0.02729217 -0.10189209
 -0.0355283  -0.04997232]","[ 0.04682292 -0.03051248  0.06848734 -0.00487855  0.02799314 -0.099361
 -0.03529678 -0.04806079]","[ 0.04658155 -0.02939319  0.06802521 -0.00489348  0.02712609 -0.1000374
 -0.03590266 -0.05089911]","[ 0.04605935 -0.02935014  0.06790334 -0.00370423  0.02643254 -0.10060489
 -0.03606634 -0.05318832]"
34,"[ 0.04439111 -0.03315264  0.06510606 -0.00339703  0.02758858 -0.10457393
 -0.03624539 -0.05304055]","[ 0.0455807  -0.03348644  0.0632853  -0.00306455  0.02725463 -0.10303303
 -0.03725864 -0.05461983]","[ 0.04517334 -0.02936561  0.06685738 -0.00360765  0.02633449 -0.10022354
 -0.03580993 -0.05265814]","[ 0.04654141 -0.03187316  0.06702095 -0.00297925  0.02629777 -0.10192819
 -0.03666701 -0.05508854]","[ 0.04372511 -0.03232831  0.06507856 -0.00149747  0.02534451 -0.09963698
 -0.03494413 -0.05393857]","[ 0.04670676 -0.03502539  0.06645757 -0.00143696  0.02852907 -0.10593479
 -0.03746618 -0.05428309]","[ 0.04683818 -0.03123703  0.06846326 -0.00486172  0.02723295 -0.10183684
 -0.03552361 -0.05000794]","[ 0.04686959 -0.03051799  0.06848459 -0.00483064  0.02788224 -0.09934319
 -0.03529057 -0.04815798]","[ 0.04664336 -0.02946256  0.06802239 -0.00482737  0.0270665  -0.09998751
 -0.03589559 -0.05093162]","[ 0.04613024 -0.02945737  0.06789885 -0.0036356   0.02641184 -0.10053347
 -0.03605935 -0.05317464]"
35,"[ 0.04445007 -0.0332197   0.0651463  -0.00329599  0.02754061 -0.10448213
 -0.03620476 -0.05304357]","[ 0.04561676 -0.03355439  0.06337158 -0.00296165  0.02721222 -0.10295894
 -0.03719646 -0.05460304]","[ 0.04524894 -0.02946169  0.06687087 -0.00355338  0.02630221 -0.10013907
 -0.03581103 -0.05268121]","[ 0.04659654 -0.03195766  0.06705419 -0.0028808   0.0262788  -0.10183949
 -0.03663781 -0.05505983]","[ 0.04379255 -0.03241836  0.06510225 -0.00143635  0.02533826 -0.09955062
 -0.0349362  -0.05394095]","[ 0.04673314 -0.03507538  0.06648964 -0.00137199  0.02850023 -0.10586866
 -0.03741223 -0.05424473]","[ 0.0468973  -0.03126541  0.06846269 -0.00480709  0.02716145 -0.10177268
 -0.03552553 -0.0500691 ]","[ 0.04691897 -0.03050996  0.06849655 -0.0047993   0.02775918 -0.09931702
 -0.03529005 -0.0482837 ]","[ 0.04670876 -0.02951932  0.06803144 -0.00477429  0.02699432 -0.09992876
 -0.03589405 -0.05099095]","[ 0.04620457 -0.02955481  0.06790468 -0.00357617  0.02637948 -0.10045357
 -0.03605629 -0.05318343]"
36,"[ 0.04450596 -0.03328344  0.06519174 -0.00320509  0.02748844 -0.10439153
 -0.036166   -0.05305395]","[ 0.0456515  -0.03362159  0.06346135 -0.00286421  0.0271648  -0.10288523
 -0.03713635 -0.05459279]","[ 0.04531809 -0.02954456  0.06689749 -0.00351711  0.02626541 -0.10005538
 -0.03581159 -0.05271922]","[ 0.04664876 -0.03203319  0.06709309 -0.00278948  0.026254   -0.1017499
 -0.03661304 -0.05504364]","[ 0.04385762 -0.03250743  0.06513553 -0.00138701  0.02532794 -0.0994657
 -0.03492195 -0.05394908]","[ 0.04675604 -0.03511914  0.06652257 -0.00130844  0.02846643 -0.10580337
 -0.03736687 -0.05421443]","[ 0.04695013 -0.03127771  0.06847578 -0.00477026  0.0270857  -0.1017065
 -0.03553333 -0.05014896]","[ 0.04695966 -0.03048387  0.06852647 -0.00479149  0.02763375 -0.09929002
 -0.03529369 -0.04842826]","[ 0.046767   -0.02955873  0.06805529 -0.00474067  0.02691806 -0.09986877
 -0.03589662 -0.05106931]","[ 0.04627248 -0.02963712  0.06792284 -0.00353199  0.02634234 -0.10037274
 -0.03605628 -0.05320905]"
37,"[ 0.04455189 -0.03333546  0.06524024 -0.00312704  0.02743553 -0.10431029
 -0.03613037 -0.05307038]","[ 0.04567867 -0.03367926  0.06355203 -0.00277535  0.02711499 -0.10281958
 -0.03707992 -0.05458919]","[ 0.04537195 -0.02960713  0.06693602 -0.00350175  0.02623    -0.09998191
 -0.03581099 -0.05276546]","[ 0.04669182 -0.03209345  0.06713588 -0.00270906  0.02622705 -0.10166699
 -0.03659317 -0.05503818]","[ 0.04391182 -0.03258499  0.06517629 -0.00135198  0.0253169  -0.0993924
 -0.0349019  -0.05396044]","[ 0.04677146 -0.03515012  0.06655358 -0.00124981  0.02842924 -0.10574424
 -0.03733244 -0.05419467]","[ 0.04698857 -0.03126932  0.0685019  -0.00475453  0.02701264 -0.10164655
 -0.03554604 -0.05023989]","[ 0.0469825  -0.03043483  0.06857357 -0.00481041  0.02751413 -0.09927106
 -0.03530007 -0.0485814 ]","[ 0.04680923 -0.02957562  0.06809326 -0.00472971  0.02684496 -0.09981646
 -0.03590196 -0.05115819]","[ 0.04632592 -0.02969849  0.06795218 -0.00350647  0.02630632 -0.10029966
 -0.03605856 -0.05324522]"
38,"[ 0.04458434 -0.03336973  0.06528839 -0.00306273  0.02738455 -0.10424451
 -0.03609894 -0.05309151]","[ 0.04569517 -0.03372098  0.0636401  -0.0026968   0.02706488 -0.10276769
 -0.03702851 -0.05459211]","[ 0.04540572 -0.02964444  0.06698251 -0.00350693  0.02619981 -0.09992658
 -0.03580889 -0.0528138 ]","[ 0.04672252 -0.03213413  0.06717935 -0.00264136  0.02620067 -0.10159721
 -0.03657804 -0.05504132]","[ 0.04395037 -0.03264288  0.06522083 -0.00133142  0.0253073  -0.09933825
 -0.03487741 -0.053973  ]","[ 0.04677813 -0.03516429  0.0665795  -0.00119889  0.02839034 -0.10569508
 -0.03731005 -0.0541869 ]","[ 0.04700835 -0.03123753  0.06853746 -0.00475973  0.02694698 -0.10160029
 -0.03556219 -0.05033457]","[ 0.04698269 -0.03035996  0.06863345 -0.00485508  0.02740566 -0.09926804
 -0.03530768 -0.04873374]","[ 0.04683068 -0.02956672  0.06814145 -0.00474095  0.02677982 -0.09977986
 -0.03590856 -0.05124964]","[ 0.04636058 -0.02973506  0.06798888 -0.00349987  0.0262753  -0.10024199
 -0.03606218 -0.05328601]"
39,"[ 0.04460349 -0.03338423  0.06533255 -0.0030113   0.02733736 -0.10419674
 -0.0360723  -0.05311591]","[ 0.04570122 -0.03374427  0.06372208 -0.0026288   0.02701611 -0.10273195
 -0.03698292 -0.05460104]","[ 0.04541919 -0.02965533  0.06703146 -0.00352934  0.02617648 -0.09989383
 -0.0358051  -0.05285933]","[ 0.04674108 -0.03215435  0.06721979 -0.00258622  0.0261766  -0.10154437
 -0.03656669 -0.05505076]","[ 0.04397266 -0.03267726  0.06526488 -0.00132344  0.02530032 -0.09930646
 -0.03485034 -0.05398525]","[ 0.04677748 -0.03516123  0.06659756 -0.00115745  0.0283516  -0.10565723
 -0.03729941 -0.0541913 ]","[ 0.04700961 -0.03118302  0.06857707 -0.00478254  0.02689093 -0.10157266
 -0.03557976 -0.05042676]","[ 0.04696046 -0.03025993  0.06869942 -0.00492085  0.0273105  -0.099286
 -0.03531485 -0.0488777 ]","[ 0.0468313  -0.02953228  0.06819399 -0.00477061  0.02672466 -0.0997642
 -0.03591473 -0.05133708]","[ 0.04637649 -0.02974644  0.06802767 -0.00350961  0.02625099 -0.10020457
 -0.03606594 -0.0533264 ]"
40,"[ 0.04461235 -0.03338116  0.06536983 -0.00297054  0.02729539 -0.10416554
 -0.03605063 -0.05314199]","[ 0.04569964 -0.03375075  0.06379542 -0.00257046  0.02697018 -0.10271102
 -0.03694345 -0.05461498]","[ 0.045416   -0.02964288  0.06707728 -0.00356366  0.02615987 -0.0998838
 -0.03579948 -0.05289858]","[ 0.04675034 -0.03215681  0.06725404 -0.00254192  0.02615585 -0.10150892
 -0.03655771 -0.05506408]","[ 0.04398152 -0.03268912  0.0653047  -0.00132471  0.02529656 -0.0992953
 -0.03482279 -0.05399608]","[ 0.04677284 -0.0351442   0.06660628 -0.00112614  0.02831519 -0.10562925
 -0.03729911 -0.05420662]","[ 0.0469961  -0.03111006  0.06861498 -0.00481745  0.02684454 -0.10156507
 -0.03559648 -0.05051175]","[ 0.04692016 -0.03013935  0.06876413 -0.00500059  0.02722814 -0.09932602
 -0.03531986 -0.04900803]","[ 0.04681492 -0.02947636  0.06824451 -0.00481263  0.02667917 -0.09977086
 -0.03591869 -0.05141579]","[ 0.0463772  -0.02973607  0.06806315 -0.00353102  0.02623334 -0.10018844
 -0.0360685  -0.05336265]"
41,"[ 0.04461549 -0.03336599  0.06539871 -0.00293754  0.02725977 -0.10414613
 -0.03603383 -0.05316805]","[ 0.04569444 -0.03374524  0.06385908 -0.00252011  0.02692857 -0.10270045
 -0.03691005 -0.05463239]","[ 0.04540207 -0.02961349  0.06711541 -0.00360372  0.02614878 -0.0998926
 -0.03579203 -0.05292958]","[ 0.04675451 -0.03214697  0.0672802  -0.00250582  0.02613904 -0.10148814
 -0.03654961 -0.05507891]","[ 0.04398182 -0.03268334  0.06533784 -0.00133127  0.02529639 -0.09929898
 -0.03479689 -0.05400468]","[ 0.04676814 -0.03511908  0.0666058  -0.00110469  0.0282835  -0.10560744
 -0.03730709 -0.05423031]","[ 0.04697363 -0.03102567  0.06864632 -0.00485799  0.02680647 -0.10157534
 -0.03561013 -0.05058647]","[ 0.04686857 -0.03000585  0.06882111 -0.00508618  0.02715637 -0.09938528
 -0.03532114 -0.04912186]","[ 0.04678769 -0.029406    0.0682876  -0.00486004  0.02664153 -0.09979738
 -0.03591887 -0.05148299]","[ 0.04636833 -0.02971035  0.06809101 -0.00355854  0.02622116 -0.10019089
 -0.0360687  -0.05339234]"
42,"[ 0.04461763 -0.03334575  0.06541926 -0.00290927  0.02723137 -0.10413186
 -0.03602164 -0.05319233]","[ 0.04568966 -0.03373411  0.06391357 -0.0024758   0.02689271 -0.10269408
 -0.0368825  -0.05465134]","[ 0.0453839  -0.02957522  0.06714315 -0.00364365  0.02614152 -0.09991362
 -0.03578291 -0.05295172]","[ 0.04675784 -0.03213152  0.06729793 -0.00247504  0.02612656 -0.10147718
 -0.0365412  -0.05509297]","[ 0.04397899 -0.03266698  0.06536343 -0.00133926  0.02530006 -0.09930931
 -0.03477453 -0.05401053]","[ 0.04676688 -0.0350928   0.0665978  -0.00109208  0.0282589  -0.10558694
 -0.03732118 -0.05425882]","[ 0.04694835 -0.03093803  0.06866802 -0.00489798  0.02677471 -0.10159871
 -0.03561897 -0.05064944]","[ 0.04681306 -0.0298684   0.06886587 -0.00516998  0.02709224 -0.09945809
 -0.03531759 -0.04921846]","[ 0.04675627 -0.02932959  0.06831968 -0.00490625  0.02660926 -0.09983848
 -0.0359142  -0.05153772]","[ 0.04635588 -0.02967711  0.06810876 -0.00358678  0.02621284 -0.10020653
 -0.03606574 -0.05341429]"
